;0;1;2;3;4
278;Mind Fields;Harlan Ellison;4,27;555;41
279;Red as Blood, or Tales from the Sisters Grimmer;Tanith Lee;4,04;2,607;197
280;Defender of the Imperium (Ciaphas Cain #4-6);Sandy Mitchell;4,44;1,531;39
281;Tripoint (The Company Wars, #6);C.J. Cherryh;3,91;1,322;62
282;Dark Descendant (Nikki Glass, #1);Jenna Black;3,78;6,882;520
283;The Great Divorce;C.S. Lewis;4,30;142,316;7,598
284;Mystery of the Witches' Bridge;Barbee Oliver Carleton;4,31;265;52
285;Beyond Apollo;Barry N. Malzberg;3,60;429;70
286;With a Single Spell (Ethshar, #2);Lawrence Watt-Evans;4,06;1,960;96
287;The Sacred Band (Acacia, #3);David Anthony Durham;3,85;2,604;155
288;Warrior's Woman (Ly-San-Ter, #1);Johanna Lindsey;4,01;9,545;483
289;Labyrinth of Stars (Hunter Kiss, #5);Marjorie M. Liu;4,00;733;72
290;The Time of Contempt (The Witcher, #2);Andrzej Sapkowski;4,16;131,385;6,071
291;Otherworld Barbara, Volume 1;Moto Hagio;4,02;330;52
292;Pandemic (The Extinction Files, #1);A.G. Riddle;4,07;30,705;2,023
293;Jeremy Thatcher, Dragon Hatcher (Magic Shop, #2);Bruce Coville;4,04;8,375;593
294;Unchosen;Katharyn Blair;4,01;1,476;375
295;Exit Strategy (The Murderbot Diaries, #4);Martha Wells;4,39;82,806;6,905
296;The Killing of Worlds (Succession, #2);Scott Westerfeld;4,06;1,920;160
297;Tales Before Tolkien: The Roots of Modern Fantasy;Douglas A. Anderson;3,93;1,292;63
298;Smoke and Shadows (Smoke Trilogy #1);Tanya Huff;3,79;3,208;195
299;Count to a Trillion (Count to the Eschaton Sequence, #1);John C. Wright;3,44;1,356;195
300;Water Witch;Connie Willis;3,48;430;33
301;Finity's End (The Company Wars, #7);C.J. Cherryh;4,11;1,431;66
302;Vita Nostra;Marina Dyachenko;4,03;15,937;3,205
303;Which Witch?;Eva Ibbotson;3,95;12,579;705
304;The Other Lands (Acacia, #2);David Anthony Durham;3,80;3,821;183
305;"Siren's Call (Rainshadow, #4; Ghost Hunters, #12)";Jayne Castle;4,23;5,285;434
306;Ombria in Shadow;Patricia A. McKillip;3,99;4,875;326
307;Deadly Descendant (Nikki Glass, #2);Jenna Black;3,93;4,576;257
308;Grey Sister (Book of the Ancestor, #2);Mark  Lawrence;4,37;32,853;2,602
309;Azazel;Isaac Asimov;3,72;3,830;185
310;Escaping Fate (Veredian Chronicles, #1);Regine Abel;4,20;1,414;168
311;The Atlantis Gene (The Origin Mystery, #1);A.G. Riddle;3,78;76,327;4,663
312;The Monster's Ring;Bruce Coville;3,78;2,995;229
313;Dragonfall (The Dragon Scales Trilogy, #1);L.R.  Lam;3,55;1,657;716
314;The Future Is Yours;Dan Frey;3,78;1,617;443
315;Abaddon's Gate (The Expanse, #3);James S.A. Corey;4,27;122,496;6,500
316;Elvenblood (Halfblood Chronicles, #2);Mercedes Lackey;3,98;10,004;104
317;Foundling Wizard (Apprentice to Master, #1);James A. Eggebeen;3,80;516;46
318;The Hermetic Millennia (Count to the Eschaton Sequence, #2);John C. Wright;3,73;641;63
319;Promised Land;Connie Willis;3,72;746;85
320;Heavy Time (The Company Wars, #4);C.J. Cherryh;3,80;1,838;103
321;Parsifal's Page (The Squire's Tales, #4);Gerald Morris;4,05;2,902;115
322;Silverwing (Silverwing, #1);Kenneth Oppel;4,07;14,177;664
323;Forest Mage (Soldier Son, #2);Robin Hobb;3,44;18,050;667
324;Hatching Magic;Ann Downer-Hazell;3,74;5,238;172
325;Rogue Descendant (Nikki Glass, #3);Jenna Black;3,89;2,863;201
326;Godsgrave (The Nevernight Chronicle, #2);Jay Kristoff;4,47;55,651;7,933
327;Buy Jupiter and other stories;Isaac Asimov;3,98;3,856;151
328;Mine (Possessive Aliens, #1);Loki Renard;3,59;1,265;148
329;The Goblin Wood (Goblin Wood, #1);Hilari Bell;3,94;4,357;293
330;Witch King;Martha Wells;3,76;8,687;2,149
331;Machinehood;S.B. Divya;3,65;3,034;614
332;All Systems Red (The Murderbot Diaries, #1);Martha Wells;4,16;195,620;22,554
333;The Exiles Trilogy (Exiles, #1-3);Ben Bova;3,70;695;46
334;The Exterminators, Vol. 1: Bug Brothers;Simon Oliver;3,70;765;60
335;Crystal Rain (Xenowealth, #1);Tobias S. Buckell;3,57;1,417;171
336;Sword of Fire and Sea (The Chaos Knight, #1);Erin Hoffman;3,36;464;60
337;A Sundial in a Grave: 1610;Mary Gentle;3,58;518;66
338;Odyssey One (Odyssey One, #1);Evan Currie;4,08;13,382;761
339;Siewca Wiatru (Zastępy Anielskie, #1);Maja Lidia Kossakowska;3,89;2,904;52
340;James and the Giant Peach;Roald Dahl;4,03;457,672;8,635
341;MeruPuri, Vol. 4 (MeruPuri, #4);Matsuri Hino;4,31;5,113;90
342;Stephen King's N.;Marc Guggenheim;4,24;14,549;404
343;Intruder (Foreigner, #13);C.J. Cherryh;4,32;1,969;135
344;We Install and Other Stories;Harry Turtledove;3,55;148;37
345;Divine Descendant (Nikki Glass, #4);Jenna Black;3,74;809;79
346;The End (A Series of Unfortunate Events, #13);Lemony Snicket;4,03;104,446;5,396
347;The Martian Way and Other Stories;Isaac Asimov;4,01;4,510;147
348;Vargr (Beast Horde, #1);Cari Silverwood;3,68;245;64
349;The Atlantis World (The Origin Mystery #3);A.G. Riddle;4,00;30,875;1,370
350;Promises Stronger Than Darkness (Unstoppable, #3);Charlie Jane Anders;4,27;239;74
351;Malice (Malice Duology #1);Heather   Walter;3,98;24,166;4,524
352;Prisoners of Power;Arkady Strugatsky;4,27;6,196;183
353;Ghost Story;Peter Straub;3,93;76,615;3,024
354;"Saltation (Theo Waitley, #2; Liaden Universe, #14)";Sharon Lee;4,28;2,195;129
355;Thirteenth Child (Frontier Magic, #1);Patricia C. Wrede;3,83;11,683;1,431
356;Ash: A Secret History (Book of Ash, #1-4);Mary Gentle;4,13;1,156;118
357;Hex Appeal;P.N. Elrod;3,89;5,714;477
358;MeruPuri, Vol. 3 (MeruPuri, #3);Matsuri Hino;4,32;6,499;73
359;Protector (Foreigner, #14);C.J. Cherryh;4,34;1,840;116
360;Satan's Sword (Imp, #2);Debra Dunbar;4,20;4,704;209
361;The Extraordinary Education of Nicholas Benedict (The Mysterious Benedict Society, #0);Trenton Lee Stewart;4,37;17,385;1,418
362;Blue Remembered Earth (Poseidon's Children, #1);Alastair Reynolds;3,88;11,246;804
363;A Court of Wings and Ruin (A Court of Thorns and Roses, #3);Sarah J. Maas;4,46;1,069,524;77,037
364;Nine Tomorrows;Isaac Asimov;4,15;5,186;201
365;Genome (The Extinction Files, #2);A.G. Riddle;4,17;15,762;721
366;And Put Away Childish Things (Terrible Worlds: Destinations, #3);Adrian Tchaikovsky;3,85;791;218
