;0;1;2;3;4
56;Ninth Key (The Mediator, #2);Jenny Carroll;4,06;39,962;1,158
57;Project Hail Mary;Andy Weir;4,52;476,325;59,997
58;Blood Tithe (Blood Tithe #1);Glenn J. Soucy;4,32;163;49
59;For We Are Many (Bobiverse, #2);Dennis E. Taylor;4,37;53,312;2,426
60;Nemesis Games (The Expanse, #5);James S.A. Corey;4,43;89,785;4,967
61;Treason;Orson Scott Card;3,90;7,713;482
62;The Warded Man (The Demon Cycle, #1);Peter V. Brett;4,25;121,185;6,170
63;The High Lord (Black Magician Trilogy, #3);Trudi Canavan;4,14;57,931;1,938
64;The Marriage Act;John Marrs;3,91;9,225;1,504
65;"I Shall Wear Midnight (Discworld, #38; Tiffany Aching, #4)";Terry Pratchett;4,35;54,376;2,564
66;Inversions (Culture, #6);Iain M. Banks;3,94;17,668;707
67;The Icarus Hunt;Timothy Zahn;4,11;4,861;341
68;The Telling;Ursula K. Le Guin;3,96;7,522;721
69;Androne (Androne #1);Dwain Worrell;4,00;1,159;97
70;A Stainless Steel Rat is Born (Stainless Steel Rat, #0);Harry Harrison;3,97;8,711;210
71;The Castle of Llyr (The Chronicles of Prydain, #3);Lloyd Alexander;4,07;37,182;1,248
72;After Death;Dean Koontz;4,15;6,537;434
73;The Oathbound (Vows and Honor, #1);Mercedes Lackey;4,09;14,614;352
74;Infinite Jest;David Foster Wallace;4,26;88,887;10,840
75;Sun and Moon, Ice and Snow;Jessica Day George;3,98;21,994;2,121
76;Ethan of Athos (Vorkosigan Saga, #3);Lois McMaster Bujold;3,80;15,456;781
77;The Lost Hero (The Heroes of Olympus, #1);Rick Riordan;4,31;797,935;30,019
78;All the Birds in the Sky (All the Birds in the Sky, #1);Charlie Jane Anders;3,59;44,895;6,946
79;Eifelheim;Michael Flynn;3,75;3,996;652
80;First Test (Protector of the Small, #1);Tamora Pierce;4,24;59,934;1,717
81;Skulduggery Pleasant (Skulduggery Pleasant, #1);Derek Landy;4,18;64,532;5,220
82;This is How You Lose the Time War;Amal El-Mohtar;3,94;158,334;32,135
83;Killashandra (Crystal Singer, #2);Anne McCaffrey;4,07;14,911;285
84;"Wyrd Sisters (Discworld, #6; Witches, #2)";Terry Pratchett;4,15;113,081;4,395
85;Abaddon's Gate (The Expanse, #3);James S.A. Corey;4,27;122,350;6,492
86;Only Human (Themis Files, #3);Sylvain Neuvel;3,63;29,956;3,640
87;The Scorch Trials (The Maze Runner, #2);James Dashner;3,90;558,717;29,594
88;An Ember in the Ashes (An Ember in the Ashes, #1);Sabaa Tahir;4,26;278,598;32,866
89;The Stone Sky (The Broken Earth, #3);N.K. Jemisin;4,35;126,637;11,733
90;The Inverted World;Christopher Priest;3,92;8,637;797
91;The Butlerian Jihad (Legends of Dune, #1);Brian Herbert;3,91;51,003;785
92;Warbreaker (Warbreaker, #1);Brandon Sanderson;4,30;181,556;14,411
93;The Last Wish (The Witcher, #0.5);Andrzej Sapkowski;4,14;330,657;22,236
94;Shatterglass (The Circle Opens, #4);Tamora Pierce;4,21;23,099;366
95;The Atrocity Archives (Laundry Files, #1);Charles Stross;3,90;25,115;2,044
96;Blood and Chocolate;Annette Curtis Klause;3,79;41,934;2,421
97;Prince Caspian (Chronicles of Narnia, #2);C.S. Lewis;3,98;421,773;10,928
98;The Riddle;Alison Croggon;4,11;21,645;650
99;Acorna: The Unicorn Girl (Acorna, #1);Anne McCaffrey;3,70;10,570;268
100;Sandman Slim (Sandman Slim, #1);Richard Kadrey;3,94;35,729;3,185
101;Impossible (Impossible, #1);Nancy Werlin;3,63;17,672;2,487
102;Hellstrom's Hive;Frank Herbert;3,68;3,537;179
103;Legend (The Drenai Saga, #1);David Gemmell;4,26;31,351;1,599
104;Carve the Mark (Carve the Mark, #1);Veronica Roth;3,78;84,795;8,825
105;Daughter of the Empire (The Empire Trilogy, #1);Raymond E. Feist;4,29;37,118;1,157
106;Feed (Newsflesh, #1);Mira Grant;3,85;57,689;6,813
107;The Time Ships;Stephen Baxter;3,95;5,889;384
108;Exhalation;Ted Chiang;4,28;84,360;10,743
109;The Witch of Blackbird Pond;Elizabeth George Speare;4,01;149,241;7,157
110;The Truth: Stage Adaptation;Stephen Briggs;4,25;49,317;955
111;Aurora;Kim Stanley Robinson;3,76;24,539;2,973
112;Sandry's Book (Circle of Magic, #1);Tamora Pierce;4,02;42,649;1,301
113;Assassin's Quest (Farseer Trilogy, #3);Robin Hobb;4,20;149,758;7,547
114;Shades of Grey (Shades of Grey, #1);Jasper Fforde;4,15;35,952;4,538
115;The Mysterious Benedict Society (The Mysterious Benedict Society, #1);Trenton Lee Stewart;4,20;155,961;13,118
116;Grave Mercy (His Fair Assassin, #1);Robin LaFevers;3,89;104,822;9,365
117;Bloodhound (Beka Cooper, #2);Tamora Pierce;4,28;37,822;1,276
118;Ancillary Sword (Imperial Radch, #2);Ann Leckie;4,07;51,691;3,978
119;Scythe (Arc of a Scythe, #1);Neal Shusterman;4,33;278,204;40,040
120;The Chronicles of Amber: Volume I;Roger Zelazny;4,35;3,916;128
121;The Man Who Sold the Moon;Robert A. Heinlein;3,90;10,175;219
122;River of Gods (India 2047, #1);Ian McDonald;3,91;5,782;425
123;Again, Dangerous Visions;Harlan Ellison;4,17;3,833;103
124;Vampire Academy Collection (Vampire Academy, #1-3);Richelle Mead;4,61;34,064;216
125;Valhalla (Valhalla, #1);Ari Bach;4,09;791;81
126;Across Realtime;Vernor Vinge;4,15;2,379;77
127;Memoirs Found in a Bathtub;Stanisław Lem;3,77;3,625;316
128;Crossed (Matched, #2);Ally Condie;3,52;240,814;15,892
129;The Red Pyramid (The Kane Chronicles, #1);Rick Riordan;4,10;382,887;15,568
130;Melting Stones (Circle Reforged, #2);Tamora Pierce;3,86;12,591;502
131;Against a Dark Background;Iain M. Banks;4,11;15,948;503
132;The Summoning (Darkest Powers, #1);Kelley Armstrong;4,02;169,694;6,624
133;Poison Study (Study, #1);Maria V. Snyder;4,10;162,523;13,307
134;Tiamat's Wrath (The Expanse, #8);James S.A. Corey;4,57;59,814;3,692
135;The Years of Rice and Salt;Kim Stanley Robinson;3,75;13,633;1,560
136;Esper Files;Egan Brass;3,92;109;58
137;Unanimity (Spiral Worlds, #1);Alexandra Almeida;4,27;106;76
138;Crystal Line (Crystal Singer, #3);Anne McCaffrey;4,05;11,988;243
139;The Green Mile;Stephen King;4,47;306,597;11,896
140;How High We Go in the Dark;Sequoia Nagamatsu;3,85;44,158;7,666
141;Valiant (Modern Faerie Tales, #2);Holly Black;3,83;42,562;2,589
142;Freedom's Choice (Catteni, #2);Anne McCaffrey;3,96;8,183;168
143;Aegis Rising (The Aegis League, #1);S.S. Segran;3,60;2,500;99
144;Igraine the Brave;Cornelia Funke;3,88;8,819;785
145;Last and First Men/Star Maker;Olaf Stapledon;3,99;578;45
146;Time Travellers Strictly Cash (Callahan's, #2);Spider Robinson;4,20;3,784;93
147;The Alchemyst (The Secrets of the Immortal Nicholas Flamel, #1);Michael Scott;3,86;157,289;9,200
148;Red Seas Under Red Skies (Gentleman Bastard, #2);Scott Lynch;4,24;138,117;7,547
149;Prodigy (Legend, #2);Marie Lu;4,23;254,878;18,892
150;Reached (Matched, #3);Ally Condie;3,55;162,899;11,855
151;Wicked: The Life and Times of the Wicked Witch of the West (The Wicked Years, #1);Gregory Maguire;3,54;591,755;25,983
152;Hawksong (The Kiesha'ra, #1);Amelia Atwater-Rhodes;4,16;22,191;1,022
153;The Chronicles of Thomas Covenant, the Unbeliever (The Chronicles of Thomas Covenant the Unbeliever, #1-3);Stephen R. Donaldson;3,81;15,103;362
154;CryoBurn (Vorkosigan Saga, #14);Lois McMaster Bujold;4,07;15,670;1,123
155;The Alchemist;Paulo Coelho;3,90;2,882,195;113,340
156;Baby (Species Intervention #6609, #1);J.K. Accinni;3,81;879;229
157;Eye in the Sky;Philip K. Dick;3,75;6,130;407
158;More Than This;Patrick Ness;3,95;64,086;8,367
159;The Screwtape Letters;C.S. Lewis;4,26;423,622;15,322
160;Bluestone (The Ammolite Adventures, #1);C.E.  Johnson;4,34;137;44
161;The One;John Marrs;4,11;143,680;17,434
162;The Dark Tower Series: Books 1-7;Stephen King;4,62;11,583;426
163;Charlotte's Web;E.B. White;4,19;1,756,066;22,750
164;Enchantress from the Stars (Elana, #1);Sylvia Engdahl;3,95;3,908;455
165;Hunted (House of Night, #5);P.C. Cast;3,92;179,220;3,769
166;Silenced;RaeBeth McGee-Buda;4,23;243;68
167;The Hero and the Crown (Damar, #2);Robin McKinley;4,21;52,613;2,607
168;March Upcountry (Empire of Man, #1);David Weber;4,19;11,419;324
169;Inheritance (The Inheritance Cycle, #4);Christopher Paolini;4,13;261,264;11,452
170;Star Maker;Olaf Stapledon;3,92;7,721;741
171;The Forest of Hands and Teeth (The Forest of Hands and Teeth, #1);Carrie Ryan;3,60;84,957;8,972
172;Chain of Iron (The Last Hours, #2);Cassandra Clare;4,44;69,045;10,903
173;Jack the Bodiless (Galactic Milieu Trilogy #1);Julian  May;4,19;4,375;111
174;Obsidio (The Illuminae Files, #3);Amie Kaufman;4,46;51,622;10,024
175;Shadow Me (Shatter Me, #4.5);Tahereh Mafi;4,03;76,524;7,960
176;Re: Colonised Planet 5, Shikasta (Canopus in Argos, #1);Doris Lessing;3,65;2,556;307
177;Ozma of Oz (Oz, #3);L. Frank Baum;3,96;24,701;1,199
178;Flag in Exile (Honor Harrington, #5);David Weber;4,22;18,844;393
179;Life As We Knew It (Last Survivors, #1);Susan Beth Pfeffer;3,88;126,571;10,537
180;Faith of the Fallen (Sword of Truth, #6);Terry Goodkind;4,10;71,177;1,257
181;Nexus (Nexus, #1);Ramez Naam;4,04;19,884;1,746
182;Strange Angels (Strange Angels, #1);Lili St. Crow;3,79;40,564;2,211
183;2312;Kim Stanley Robinson;3,51;19,654;2,563
184;Wicked Lovely (Wicked Lovely, #1);Melissa Marr;3,70;162,384;7,412
185;Galactic Derelict (Time Traders/Ross Murdock, #2);Andre Norton;3,95;1,592;99
186;Lady Knight (Protector of the Small, #4);Tamora Pierce;4,32;52,391;1,071
187;City of Lost Souls (The Mortal Instruments, #5);Cassandra Clare;4,22;515,923;23,708
188;Tuck Everlasting;Natalie Babbitt;3,90;266,874;11,422
189;Rapunzel's Revenge (Rapunzel's Revenge, #1);Shannon Hale;3,90;17,223;2,310
190;Squire (Protector of the Small, #3);Tamora Pierce;4,30;52,185;1,004
191;Warchild (Warchild, #1);Karin Lowachee;4,08;2,169;225
192;Cosmicomics;Italo Calvino;4,17;18,061;1,268
193;The Darkest Minds (The Darkest Minds, #1);Alexandra Bracken;4,16;185,550;18,658
194;The Circle (The Circle, #1);Dave Eggers;3,43;212,238;25,448
195;Magic Bites (Kate Daniels, #1);Ilona Andrews;4,06;122,460;8,373
196;Evil Among Us (Species Intervention #6609, #5);J.K. Accinni;4,44;277;71
197;Fool's Errand (Tawny Man, #1);Robin Hobb;4,35;89,176;3,020
198;Anansi Boys;Neil Gaiman;4,04;217,922;11,530
199;The Battle of the Labyrinth (Percy Jackson and the Olympians, #4);Rick Riordan;4,42;1,004,770;30,320
200;Fairest (The Lunar Chronicles, #3.5);Marissa Meyer;3,96;133,974;16,104
201;Wizard and Glass (The Dark Tower, #4);Stephen King;4,26;192,377;7,632
202;Fool's Fate (Tawny Man, #3);Robin Hobb;4,46;75,106;2,633
203;City of Ashes (The Mortal Instruments, #2);Cassandra Clare;4,12;907,401;35,676
204;The House of Hades (The Heroes of Olympus, #4);Rick Riordan;4,56;381,175;20,342
205;The Death Cure (The Maze Runner, #3);James Dashner;3,78;429,884;26,178
206;Mirrorshades: The Cyberpunk Anthology;Bruce Sterling;3,95;8,941;202
207;Lexicon;Max Barry;3,91;36,465;4,524
208;Dream Caster (Dream Cycle, #1);Najeev Raj Nadarajah;4,13;283;79
209;The Undertaking of Hart and Mercy;Megan Bannen;4,14;17,456;3,934
210;The Last Vampire (The Last Vampire, #1);Christopher Pike;3,91;9,307;468
211;Diaspora;Greg Egan;4,12;9,036;789
212;Ronia, the Robber's Daughter;Astrid Lindgren;4,31;31,033;1,324
213;Glass Houses (The Morganville Vampires, #1);Rachel Caine;3,91;99,856;5,196
214;First Contact (Aoleon The Martian Girl, #1);Brent LeVasseur;4,02;164;106
215;A Darker Shade of Magic (Shades of Magic, #1);V.E. Schwab;4,06;329,355;40,888
216;Provenance;Ann Leckie;3,83;18,078;2,048
217;Freedom™ (Daemon, #2);Daniel Suarez;4,27;27,919;1,559
218;City of Fallen Angels (The Mortal Instruments, #4);Cassandra Clare;4,08;584,273;27,071
219;Gardens of the Moon (Malazan Book of the Fallen, #1);Steven Erikson;3,92;113,950;7,785
220;The Neutronium Alchemist 2: Conflict (Night's Dawn 2);Peter F. Hamilton;4,34;3,660;38
221;Moreta: Dragonlady of Pern (Pern, #7);Anne McCaffrey;4,02;28,041;540
222;Galactic Pot-Healer;Philip K. Dick;3,61;4,976;389
223;The Hitchhiker's Guide to the Galaxy: A Trilogy in Four Parts;Douglas Adams;4,50;35,871;612
224;Wolf-Speaker (Immortals, #2);Tamora Pierce;4,20;57,621;1,170
225;Tithe (Modern Faerie Tales, #1);Holly Black;3,70;93,395;5,992
226;Persepolis Rising (The Expanse, #7);James S.A. Corey;4,37;64,913;3,613
227;Authority;Jeff VanderMeer;3,53;79,977;8,095
228;Savvy (Savvy, #1);Ingrid Law;3,98;48,094;4,199
229;Rogue Protocol (The Murderbot Diaries, #3);Martha Wells;4,27;92,357;7,706
230;Royal Assassin (Farseer Trilogy, #2);Robin Hobb;4,26;187,555;7,560
231;The Calculating Stars (Lady Astronaut Universe, #1);Mary Robinette Kowal;3,97;31,962;4,832
232;Last Sacrifice (Vampire Academy, #6);Richelle Mead;4,37;282,429;12,415
233;The Peripheral (Jackpot #1);William Gibson;3,90;28,423;3,129
234;Enclave (Razorland, #1);Ann Aguirre;3,91;69,076;5,233
235;Mutineers' Moon (Dahak, #1);David Weber;4,21;6,769;151
236;Whipping Star (ConSentiency Universe, #1);Frank Herbert;3,67;3,538;212
237;A World Out of Time (The State, #1);Larry Niven;3,80;6,046;318
238;The Deed of Paksenarrion (The Deed of Paksenarrion, #1-3);Elizabeth Moon;4,32;13,341;740
239;Protector of the Small (Protector of the Small, #1-4);Tamora Pierce;4,53;10,099;121
240;The Integral Trees (The State, #2);Larry Niven;3,76;8,928;250
241;The Dark Tower (The Dark Tower, #7);Stephen King;4,27;167,867;7,249
242;Captain Vorpatril's Alliance (Vorkosigan Saga, #15);Lois McMaster Bujold;4,20;15,818;1,426
243;Dragon Slippers (Dragon Slippers, #1);Jessica Day George;4,25;28,323;2,472
244;Raptor Red;Robert T. Bakker;3,95;8,860;595
245;Ship of Magic (Liveship Traders, #1);Robin Hobb;4,20;79,177;4,440
246;Only Forward;Michael Marshall Smith;4,22;5,685;520
247;The Realms of the Gods (Immortals, #4);Tamora Pierce;4,31;55,635;1,178
248;The First Fifteen Lives of Harry August;Claire North;4,03;84,850;10,338
249;The Goblin Reservation;Clifford D. Simak;3,98;3,707;215
250;Lord of Chaos (The Wheel of Time, #6);Robert Jordan;4,17;167,131;4,781
251;Nobody's Prize (Nobody's Princess, #2);Esther M. Friesner;3,86;6,506;366
252;Gun, With Occasional Music;Jonathan Lethem;3,76;10,936;1,148
253;1632;Eric Flint;4,05;12,519;920
254;A Song for Arbonne;Guy Gavriel Kay;4,23;14,027;791
255;Record of a Spaceborn Few (Wayfarers, #3);Becky  Chambers;4,11;43,186;5,582
256;Tris's Book (Circle of Magic, #2);Tamora Pierce;4,11;32,101;629
257;Spirit Bound (Vampire Academy, #5);Richelle Mead;4,33;289,117;9,946
258;The Black Cauldron (The Chronicles of Prydain, #2);Lloyd Alexander;4,12;63,731;1,954
259;The Last Question;Isaac Asimov;4,55;24,269;1,821
260;Rowan Hood: Outlaw Girl of Sherwood Forest (Rowan Hood, #1);Nancy Springer;3,77;3,019;225
261;The Great and Secret Show (Book of the Art #1);Clive Barker;4,06;30,167;850
262;Chance (Constance, #2);Matthew FitzSimmons;4,12;2,058;136
263;MaddAddam (MaddAddam, #3);Margaret Atwood;4,01;74,353;5,906
264;An Unkindness of Ghosts;Rivers Solomon;3,97;18,423;3,059
265;The Forgotten Beasts of Eld;Patricia A. McKillip;4,07;17,742;1,724
266;Gridlinked (Agent Cormac #1, Polity Universe #3);Neal Asher;3,97;11,639;565
267;Mariel of Redwall (Redwall, #4);Brian Jacques;3,99;27,988;472
268;Labyrinths: Selected Stories & Other Writings;Jorge Luis Borges;4,45;30,967;1,701
269;The Scorpio Races;Maggie Stiefvater;4,09;107,664;14,277
270;Imperial Earth;Arthur C. Clarke;3,74;6,365;242
271;Eden (Helen & Kurt Wolff Book);Stanisław Lem;3,89;5,738;320
272;The Gentle Giants of Ganymede (Giants, #2);James P. Hogan;3,97;2,197;122
273;Ensnared (Brutes of Bristlebrook #1);Rebecca Quinn;4,33;1,869;391
274;The Rise and Fall of D.O.D.O. (D.O.D.O., #1);Neal Stephenson;3,86;30,924;3,817
275;Quantum Radio;A.G. Riddle;4,15;8,658;539
276;Hammered (Legacy of Magic, #1);Lindsay Buroker;4,28;5,872;353
277;Poison;Chris Wooding;4,00;6,271;503
278;Those Left Behind (Serenity #1);Joss Whedon;4,04;27,270;1,072
279;Reunion (The Mediator, #3);Jenny Carroll;4,08;38,912;897
280;Kafka on the Shore;Haruki Murakami;4,13;443,098;35,253
281;The Hundred Thousand Kingdoms (Inheritance, #1);N.K. Jemisin;3,89;71,953;7,309
282;The Night Masquerade (Binti, #3);Nnedi Okorafor;4,01;20,591;2,535
283;The Demon Princes, Volume One: The Star King, The Killing Machine, The Palace of Love;Jack Vance;4,25;1,290;60
284;The Sentinel;Arthur C. Clarke;3,96;5,328;251
285;Malevil;Robert Merle;4,24;4,728;411
286;The Library at Mount Char;Scott  Hawkins;4,09;50,687;8,679
287;Non-Stop;Brian W. Aldiss;3,88;6,545;417
288;The Dig (Matt Turner Series);Michael Siemsen;3,68;5,420;468
289;City of Illusions;Ursula K. Le Guin;3,92;8,901;841
290;Scarlet (Scarlet, #1);A.C. Gaughen;3,93;24,537;2,866
291;Wings (Wings, #1);Aprilynne Pike;3,76;80,157;5,293
292;Storm Glass (Glass, #1);Maria V. Snyder;3,96;25,245;1,696
293;Calling on Dragons (Enchanted Forest Chronicles, #3);Patricia C. Wrede;4,18;42,312;944
294;Autonomous;Annalee Newitz;3,58;16,202;2,313
295;Forward the Foundation (Foundation: Prequel #2);Isaac Asimov;4,16;54,223;1,401
296;Voyager (Outlander, #3);Diana Gabaldon;4,39;299,237;12,635
297;The Complete Robot (Robot #0.3);Isaac Asimov;4,33;17,099;588
298;A Christmas Carol;Charles Dickens;4,07;790,865;28,321
299;Beautiful Creatures (Caster Chronicles, #1);Kami Garcia;3,77;589,706;22,863
300;The Big Dark Sky;Dean Koontz;4,03;18,488;1,122
301;Ender in Exile (Ender's Saga, #5);Orson Scott Card;3,91;49,213;2,264
302;All You Need Is Kill;Hiroshi Sakurazaka;4,03;21,256;2,034
303;The One (Species Intervention #6609, #6);J.K. Accinni;4,46;264;48
304;Charlie and the Chocolate Factory (Charlie Bucket, #1);Roald Dahl;4,16;816,494;15,441
305;The Cry of the Icemark;Stuart Hill;4,12;11,386;642
306;Pavane;Keith Roberts;3,70;3,324;311
307;The Cadet of Tildor;Alex Lidell;3,92;1,896;290
308;Rocannon's World;Ursula K. Le Guin;3,78;18,770;1,312
309;The Gods of Mars (Barsoom #2);Edgar Rice Burroughs;3,88;18,844;1,019
310;Pirates!;Celia Rees;3,83;16,251;857
311;Six Wakes;Mur Lafferty;3,83;17,407;2,623
312;Einstein's Dreams;Alan Lightman;4,07;38,835;4,042
313;Children of Time (Children of Time, #1);Adrian Tchaikovsky;4,30;108,679;10,937
314;The Consuming Fire (The Interdependency, #2);John Scalzi;4,21;30,165;2,407
315;Armageddon Cometh (Species Intervention #6609, #3);J.K. Accinni;4,32;266;91
316;Hounded (The Iron Druid Chronicles, #1);Kevin Hearne;4,09;85,747;7,444
317;Fool's Assassin (The Fitz and the Fool, #1);Robin Hobb;4,40;53,154;3,487
318;Ironside (Modern Faerie Tales, #3);Holly Black;4,01;42,672;1,813
319;House Atreides (Prelude to Dune, #1);Brian Herbert;3,80;26,383;686
320;Ten Thousand Light-Years from Home;James Tiptree Jr.;3,85;848;96
321;A Memory of Light (The Wheel of Time, #14);Robert Jordan;4,56;137,153;8,027
322;Fire Starter (Fluorescence, #1);P. Anastasia;3,59;392;57
323;Limes inferior;Janusz A. Zajdel;4,29;3,669;174
324;Echo (Species Intervention #6609, #2);J.K. Accinni;4,12;390;112
325;Renegades (Renegades, #1);Marissa Meyer;4,14;131,187;17,260
326;Lord Foul's Bane (The Chronicles of Thomas Covenant the Unbeliever, #1);Stephen R. Donaldson;3,72;47,274;2,010
327;The Sweet Far Thing (Gemma Doyle, #3);Libba Bray;3,97;70,380;3,986
328;3001: The Final Odyssey;Arthur C. Clarke;3,58;25,493;1,016
329;Stars Above (The Lunar Chronicles, #4.5);Marissa Meyer;4,17;90,007;10,325
330;Magic Kingdom for Sale/Sold (Magic Kingdom of Landover, #1);Terry Brooks;3,91;37,082;1,339
331;Miles Errant (Vorkosigan Omnibus, #4);Lois McMaster Bujold;4,45;4,246;127
332;Shiver (The Wolves of Mercy Falls, #1);Maggie Stiefvater;3,76;473,770;24,612
333;Blue Noon (Midnighters, #3);Scott Westerfeld;3,86;16,922;877
334;Home (Binti, #2);Nnedi Okorafor;4,05;26,853;3,122
335;Z for Zachariah;Robert C. O'Brien;3,67;15,912;1,813
336;Rebel Angels (Gemma Doyle, #2);Libba Bray;3,94;109,544;3,508
337;Incarceron (Incarceron, #1);Catherine Fisher;3,64;60,409;5,484
338;Miss Peregrine's Home for Peculiar Children (Miss Peregrine's Peculiar Children, #1);Ransom Riggs;3,92;1,218,370;65,926
339;The Iron King (The Iron Fey, #1);Julie Kagawa;3,88;210,251;13,210
340;Destination: Void;Frank Herbert;3,61;4,390;294
341;The Birthday of the World and Other Stories;Ursula K. Le Guin;4,32;5,371;555
342;The Shifter;Janice Hardy;3,84;6,089;492
343;The City of Brass (The Daevabad Trilogy, #1);S.A. Chakraborty;4,15;105,829;15,797
344;The House on the Strand;Daphne du Maurier;3,84;12,308;1,353
345;The Vampire Lestat (The Vampire Chronicles, #2);Anne Rice;4,09;195,649;4,834
346;The Vulcan Academy Murders (Star Trek: The Original Series, #20);Jean Lorrah;3,89;2,239;192
347;Woken Furies (Takeshi Kovacs, #3);Richard K. Morgan;4,02;29,775;1,133
348;A Great and Terrible Beauty (Gemma Doyle, #1);Libba Bray;3,79;220,728;10,431
349;Dreamhunter (The Dreamhunter Duet, #1);Elizabeth Knox;3,75;3,734;541
350;Shadows of the Empire;Steve Perry;3,83;17,701;630
351;All My Sins Remembered;Joe Haldeman;3,82;2,069;132
352;Planetfall (Planetfall, #1);Emma Newman;3,72;11,567;1,721
353;Eona: The Last Dragoneye (Eon, #2);Alison Goodman;4,11;38,479;2,610
354;Robot Visions (Robot, #0.5);Isaac Asimov;4,24;10,454;315
355;Rivers of London (Rivers of London, #1);Ben Aaronovitch;3,87;124,239;11,554
356;Circe;Madeline Miller;4,24;942,110;92,921
357;The Power;Naomi Alderman;3,77;219,581;25,320
