;0;1;2;3;4
37;The Crossing Gate  (A Waltz of Sin and Fire, #1);Asiel R. Lavie;3,92;232;116
38;The Witch Collector (Witch Walker, #1);Charissa Weaks;3,90;16,449;2,063
39;Below the Wall;L.  Bird;4,73;44;38
40;A Song of Wraiths and Ruin (A Song of Wraiths and Ruin, #1);Roseanne A. Brown;3,95;17,528;3,880
41;Mickey7 (Mickey7, #1);Edward Ashton;3,78;9,793;1,771
42;The Midnight Library;Matt Haig;4,01;1,515,162;161,944
43;Kristian's War (The Searchers Series, #1);Peter Wisan;3,91;81;60
44;Dark Rise (Dark Rise, #1);C.S. Pacat;4,15;16,863;4,393
45;It Doesn't Have To Be This Way;Alistair Mackay;4,45;85;39
46;The Unbalancing;R.B. Lemberg;4,08;239;104
47;Our Lady of the Artilects;Andrew Gillsmith;4,25;1,192;241
48;Antuna's Story (The Antunites Chronicles, #1);Terry Birdgenaw;4,65;37;32
49;Het meisje in de toren;Katherine Arden;4,35;91,133;10,159
50;Stealing Infinity (Stolen Beauty, #1);Alyson Noel;3,77;2,289;702
51;The Peacemaker's Code;Deepak  Malhotra;4,59;1,988;256
52;Trading Places;Emily Duvall;3,63;164;144
53;The Stars in Their Eyes (The Broken Stars #1);Kristy  Gardner;4,12;77;44
54;Worm (Parahumans, #1);Wildbow;4,61;8,673;971
55;Noa's Ark (Archangel Project, #2);C. Gockel;4,24;807;58
56;The Grief Nurse;Angie Spoto;3,51;187;67
57;Neuromancer (Sprawl Trilogy, #1);William Gibson;3,90;315,214;13,149
58;The Immortal Detective;D.B. Woodling;3,65;52;35
59;Winter (Evermore Academy, #1);Audrey Grey;4,12;9,521;814
60;Tales from the Gas Station: Volume One (Tales from the Gas Station, #1);Jack  Townsend;4,22;4,709;568
61;The Witches of Bone Hill;Ava Morgyn;3,80;229;186
62;We Were Soldiers Once... and Young: Ia Drang - The Battle that Changed the War in Vietnam;Harold G. Moore;4,32;30,177;842
63;Meet Me in the Ether;Iris Lake;4,33;252;37
64;The Cheat Code (Wisdom Revolution, #3);Misba;4,68;1,480;406
65;Возвращение со звезд;Stanisław Lem;3,95;5,539;330
66;The Will of the Many (Hierarchy, #1);James  Islington;4,68;5,239;1,014
67;Mother of Learning 1;Domagoj Kurmaić;4,52;6,471;397
68;Tinker (Elfhome, #1);Wen Spencer;4,08;5,614;416
69;Trinity (Dark Legacy Cycle, #1);Domenico Italo Composto-Hart;3,98;325;39
70;Starsight (Skyward, #2);Brandon Sanderson;4,38;79,682;8,324
71;Icehenge;Kim Stanley Robinson;3,54;2,064;183
72;Galileo's Dream;Kim Stanley Robinson;3,58;2,958;399
73;Bitter Seeds (The Milkweed Triptych, #1);Ian Tregillis;3,75;6,599;839
74;Hell's Horizon (The City Trilogy, #2);D.B. Shan;4,11;1,373;86
75;Dante's Equation: A Novel;Jane Jensen;3,69;1,128;105
76;Mad Skills;Walter Greatshell;3,38;252;49
77;The Lost King (Star of the Guardians, #1);Margaret Weis;3,90;1,971;91
78;Sandworms of Dune (Dune, #8);Brian Herbert;3,68;14,004;630
79;The Alliance;Gerald N. Lund;4,22;4,364;633
80;Iron Angel (Deepgate Codex, #2);Alan                Campbell;3,61;1,971;129
81;Glow (Sky Chasers, #1);Amy Kathleen Ryan;3,52;13,421;2,035
82;The Price of the Stars (Mageworlds, #1);Debra Doyle;3,90;1,573;121
83;Resonance;A.J. Scudiere;4,03;616;79
84;Humans (Neanderthal Parallax, #2);Robert J. Sawyer;3,83;5,868;282
85;Hellhole (Hellhole, #1);Brian Herbert;3,69;2,246;278
86;Extinction (Star Force, #2);B.V. Larson;3,90;5,293;100
87;Makers;Cory Doctorow;3,71;5,775;667
88;Permanence;Karl Schroeder;3,76;693;58
89;A World Too Near (Entire and the Rose, #2);Kay Kenyon;3,92;919;41
90;Land of Nod, The Artifact (Land of Nod #1);Gary  Hoover;3,73;608;103
91;If You're Reading This, It's Too Late (Secret, #2);Pseudonymous Bosch;4,22;25,526;1,103
92;Transition;Iain M. Banks;3,87;10,502;709
93;Slimer;Harry Adam Knight;3,44;486;115
94;Masterpieces: The Best Science Fiction of the Century;Orson Scott Card;4,21;1,928;147
95;Ring (Xeelee Sequence, #4);Stephen Baxter;4,00;3,613;123
96;Frost Arch (Fire Mage, #1);Kate Bloomfield;3,74;1,177;119
97;The Keeper of the Stones (Jake West, #1);M.J. Webb;3,77;118;76
98;A Quest of Heroes (The Sorcerer's Ring, #1);Morgan Rice;3,51;18,336;1,471
99;Star Wars: Secrets of the Jedi;Jude Watson;3,88;851;51
100;Existence;David Brin;3,77;6,636;884
101;The Briar King (Kingdoms of Thorn and Bone, #1);Greg Keyes;3,74;11,260;419
102;The Last Dragon Slayer (Deathsworn Arc, #1);Martyn Stanley;3,68;464;107
103;Angel Fall: A Novel;Coleman  Luck;3,87;157;32
104;Doomsday (Hawker & Laidlaw, #2);Graham  Brown;4,00;1,630;71
105;Holy Fire;Bruce Sterling;3,73;2,586;134
106;Downward to the Earth;Robert Silverberg;3,86;2,833;268
107;Smith of Wootton Major;J.R.R. Tolkien;3,91;5,109;418
108;The Stand: Captain Trips;Roberto Aguirre-Sacasa;4,46;68,876;408
109;The Mystery Knight (The Tales of Dunk and Egg, #3);George R.R. Martin;4,23;16,180;549
110;Ruins (Pathfinder, #2);Orson Scott Card;3,90;11,103;878
111;The Desert Spear (Demon Cycle, #2);Peter V. Brett;4,21;85,365;2,882
112;Peacemaker (Peacemaker, #1);Marianne de Pierres;3,58;330;115
113;Secrets and Lies (Cassie Scot, #2);Christine Amsden;4,05;402;88
114;Warped Passages: Unraveling the Mysteries of the Universe's Hidden Dimensions;Lisa Randall;3,93;5,323;218
115;Demian. Die Geschichte von Emil Sinclairs Jugend;Hermann Hesse;4,14;106,379;7,162
116;The A.I. War: The Big Boost  (The Continuing Time, #4);Daniel Keys Moran;4,48;328;32
117;Die Hyperion-Gesänge;Dan Simmons;4,43;3,720;208
118;Tagged: The Apocalypse;Joseph M. Chiron;3,28;366;69
119;The Rise of Mallory (Everville, #3);Roy Huff;4,31;125;33
120;Icefire (The Last Dragon Chronicles, #2);Chris d'Lacey;3,92;25,056;730
121;Artificial Absolutes (Jane Colt, #1);Mary Fan;4,02;117;56
122;Sands of Betrayal (Kilted Desire, #1);A.B. McKinley;4,11;356;58
123;The Clan (Play to Live, #2);D. Rus;4,22;4,921;113
124;Possession of My Soul (The Three Immortal Blades, #1);Kia Carrington-Russell;3,52;2,293;58
125;Lion of Macedon (Greek Series, #1);David Gemmell;4,27;5,286;167
126;The Price of Faith (The Ties That Bind, #3);Rob J. Hayes;4,08;1,328;69
127;Branded (The Cavanaugh Brothers, #1);Laura Wright;4,06;1,500;265
128;Eaters of the Dead;Michael Crichton;3,69;40,694;2,068
129;E (E, #1);Kate Wrath;3,88;1,118;170
130;The Bone Key;Sarah Monette;4,10;1,451;227
131;Peaceable Kingdoms;Dayton Ward;3,97;870;71
132;Prince of Fools (The Red Queen's War, #1);Mark  Lawrence;4,06;31,758;2,466
133;টাইট্রন একটি গ্রহের নাম;Muhammed Zafar Iqbal;3,88;1,399;36
134;Disruption (Disruption, #1);Jessica Shirvington;4,17;3,649;547
135;Magic's Price (The Last Herald-Mage #3);Mercedes Lackey;4,27;21,266;459
136;The Shadows (Black Dagger Brotherhood, #13);J.R. Ward;4,29;37,626;3,778
137;Bone Rider;J. Fally;4,26;1,957;466
138;Points of Departure: Liavek Stories;Patricia C. Wrede;3,85;195;37
139;Santa Claus vs The Aliens;James Cardona;3,86;58;44
140;Midshipman Henry Gallant in Space (The Henry Gallant Saga, #1);H. Peter Alesso;3,92;1,548;128
141;Voices in Crystal (Children of Stone, #1);Mary R. Woldering;4,31;74;52
142;Off to Be the Wizard (Magic 2.0, #1);Scott  Meyer;3,99;38,895;3,117
143;Tender Morsels;Margo Lanagan;3,58;5,875;1,352
144;Of Shadow and Sea (The Elder Empire: Shadow, #1);Will Wight;4,03;4,654;210
145;Stunned (The Lucidites #2);Sarah Noffke;4,31;330;93
146;Peter Pan in Kensington Gardens / Peter and Wendy;J.M. Barrie;3,98;7,119;466
147;How to Date Dead Guys (The Witch`s Handbook, #1);Ann M. Noser;3,84;309;144
148;Historias de Terramar I: Un mago en Terramar / Las Tumbas de Atuan (Historias de Terramar, #1-2);Ursula K. Le Guin;4,03;945;101
149;The Monk;Matthew Gregory Lewis;3,83;27,275;2,450
150;United States of Japan;Peter Tieryas;3,52;3,823;699
151;The Forbidden Wish (The Forbidden Wish, #1);Jessica Khoury;4,00;13,603;2,782
152;Prophecy (Prophecy, #1);Lea Kirk;3,71;376;87
153;Phoenix (Vlad Taltos, #5);Steven Brust;4,15;6,542;128
154;Deep Space (Star Carrier, #4);Ian Douglas;3,98;2,248;87
155;Soulsnatcher;Kerry Alan Denney;4,43;61;39
156;The Destined (Dreamland, #3);E.J. Mellow;4,22;550;51
157;Extinction Horizon (Extinction Cycle, #1);Nicholas Sansbury Smith;3,98;6,673;570
158;A Shadow on the Glass (The View from the Mirror, #1);Ian Irvine;3,77;3,493;180
159;Minor Gods (Summoners #1);A.M. Yates;4,01;289;46
160;Prudence (The Custard Protocol, #1);Gail Carriger;3,82;16,258;2,101
161;The Dark Portal (The Deptford Mice, #1);Robin Jarvis;3,82;2,465;131
162;The Stories of Ibis;Hiroshi Yamamoto;4,24;1,096;136
163;Ninth City Burning (War of the Realms, #1);J. Patrick Black;3,59;1,460;277
164;Island of Exiles (The Ryogan Chronicles, #1);Erica Cameron;3,82;203;87
165;The Thirteenth House (Twelve Houses, #2);Sharon Shinn;3,86;5,351;376
166;Wicked And Wilde (Immortal Vegas, #5);Jenn Stark;4,27;1,080;49
167;Elfhome (Elfhome, #3);Wen Spencer;4,33;2,766;173
168;Beneath the Silver Rose (Shadyia Ascendant, #1);T.S. Adrian;4,16;103;32
169;The Song of the Quarkbeast (The Last Dragonslayer, #2);Jasper Fforde;4,06;9,464;994
170;No Plain Rebel (No Ordinary Star, #2);M.C. Frank;4,20;163;92
171;Agatha Heterodyne and the Beetleburg Clank (Girl Genius, #1);Phil Foglio;4,14;4,431;292
172;A New Dawn;John Jackson Miller;3,80;15,461;1,450
173;The House of War and Witness;Mike Carey;4,06;231;36
174;Unwanted;Amanda Holohan;3,70;155;38
175;The Salt Roads;Nalo Hopkinson;3,85;2,319;320
176;In Her Name: Redemption (In Her Name: Redemption, #1-3);Michael R. Hicks;4,22;2,111;100
177;Ghost Country (Travis Chase, #2);Patrick  Lee;4,10;5,978;427
178;The Coincidence Makers;Yoav Blum;3,88;4,358;756
179;Of Blood and Bone (Chronicles of The One, #2);Nora Roberts;4,28;41,847;3,213
180;Starstruck (Starstruck Saga #1);S.E.   Anderson;4,11;295;117
181;The Project;Johnny Moscato;4,11;63;33
182;Norby, the Mixed-Up Robot (Norby, #1);Janet Asimov;3,70;671;49
183;In The Night Wood;Dale Bailey;3,34;3,205;621
184;Orbit (Theonite, #2);M.L.  Wang;3,92;358;50
185;Dungeon Born (The Divine Dungeon, #1);Dakota Krout;4,22;12,242;713
186;Timelike Infinity (Xeelee Sequence, #2);Stephen Baxter;3,85;2,101;129
187;The Girl Who Leapt Through Time;Yasutaka Tsutsui;3,16;2,087;309
188;A Call to Duty (Honorverse: Manticore Ascendant, #1);David Weber;4,12;4,107;261
189;The Detriment (DI Jake Flannagan, #2);David Videcette;4,34;325;90
190;American War;Omar El Akkad;3,79;37,118;4,896
191;The Ordinary Princess;M.M. Kaye;4,21;13,624;1,583
192;Go Ask Alice;Beatrice Sparks;3,75;269,360;12,898
193;Wandfasted (The Black Witch Chronicles, #0.5);Laurie Forest;4,24;4,978;438
194;Ceremony in Death (In Death, #5);J.D. Robb;4,27;44,209;1,643
195;Blood Laws (Immortal Curse #1);Lexi C. Foss;4,22;2,538;364
196;Entrance (Thornhill Trilogy, #1);J.J. Sorel;4,07;1,125;77
197;The Darwath Trilogy: The Time of the Dark, The Walls of Air, and The Armies of Daylight;Barbara Hambly;4,32;699;33
198;From the Mixed-Up Files of Mrs. Basil E. Frankweiler;E.L. Konigsburg;4,15;207,464;8,771
199;The Ethereal Squadron (The Sorcerers of Verdun, #1);Shami Stovall;4,31;113;38
200;Darth Plagueis;James Luceno;4,15;26,141;2,417
201;A Traitor's War (The Metaframe War, #2);Graeme Rodaughan;4,32;78;39
202;Zenith (The Interscission Project, #1);Arshad Ahsanuddin;3,97;241;84
203;Witch Wife;Kiki Petrosino;3,88;342;45
204;River (Stranger in the Woods Book 2);India R. Adams;4,48;79;57
205;Olvidado rey Gudú;Ana María Matute;4,03;1,803;195
206;Darkbeam Part I;Adrienne Woods;4,23;432;76
207;Immortal Defiance (Dulcea's Rebellion, #1);Laura Maybrooke;3,98;128;68
208;Astraeus;Haley Cavanagh;3,99;68;48
209;The Lost (Saint Code Book 1);Megan Mackie;4,42;62;52
210;Where the Forest Meets the Stars;Glendy Vanderah;4,14;178,499;15,376
211;Coliseum Arcanist (Frith Chronicles, #3);Shami Stovall;4,52;1,659;96
212;Raven's Gate (Power of Five, #1);Anthony Horowitz;3,90;26,608;1,604
213;The Guardians of Erum and the Calamitous Child of Socotra;A. Ali Hasan Ali;4,36;117;94
214;Powerless (Supers of Noble's Green, #1);Matthew  Cody;4,01;4,152;514
215;The Stars Are Legion;Kameron Hurley;3,65;9,618;1,871
216;Pestilence (The Four Horsemen #1);Laura Thalassa;3,90;76,210;9,353
217;The Shadow Keepers;Marisa Noelle;4,06;144;56
218;Magitek (The Rift Chronicles, #1);B.R. Kingsolver;4,24;3,040;263
219;The Fallen World (The Fallen World, #1-3);Laura Thalassa;4,27;970;83
220;No Signal (iMe, #2);Jem Tugwell;4,15;72;31
221;New York 2140;Kim Stanley Robinson;3,59;13,546;2,204
222;Crossed Blades (Fallen Blade, #3);Kelly McCullough;4,07;1,821;55
223;A Deadly Education (The Scholomance, #1);Naomi Novik;3,99;144,933;21,268
224;Jade City (The Green Bone Saga, #1);Fonda Lee;4,11;52,431;9,092
225;Leave the World Behind;Rumaan Alam;3,18;124,815;18,679
226;Flamefall (The Aurelian Cycle, #2);Rosaria Munda;4,37;4,187;772
227;Allure of Oartheca (Oarthecan Star Saga, #1);James Siewert;4,55;75;31
228;Star Daughter;Shveta Thakrar;3,31;7,695;1,907
229;A River Enchanted (Elements of Cadence, #1);Rebecca   Ross;4,13;32,380;5,732
230;The Halloween Tree;Ray Bradbury;3,79;29,137;3,671
231;A Memory Called Empire (Teixcalaan, #1);Arkady Martine;4,13;51,262;7,022
232;The Paper Menagerie and Other Stories;Ken Liu;4,37;29,691;4,455
233;True Teryn (The Last Lumenian, #2);S.G. Blaise;4,31;944;123
234;The Bruising of Qilwa;Naseem Jamnia;3,78;1,217;331
235;Twilight Company (Star Wars: Battlefront, #1);Alexander Freed;3,74;6,981;653
236;Last of the Talons (Talon, #1);Sophie Kim;3,93;880;425
237;The Caphenon (Chronicles of Alsea, #1);Fletcher DeLancey;4,47;972;143
238;Archangel Down (Archangel Project, #1);C. Gockel;3,79;2,426;265
239;The Cheat Code (Wisdom Revolution, #3);Misba;4,68;1,480;406
240;Crooked Kingdom (Six of Crows, #2);Leigh Bardugo;4,60;584,557;66,232
241;The Cheat Code (Wisdom Revolution, #3);Misba;4,68;1,480;406
242;Junkyard Cats (Junkyard Cats, #1);Faith Hunter;3,79;7,592;951
243;Reign of Dragons (Dragon Dojo Brotherhood, #1);Olivia Ash;3,94;2,303;219
244;Guardians of Dawn: Zhara;S. Jae-Jones;3,61;1,052;583
245;Sphere;Michael Crichton;3,82;181,869;4,210
246;Do Androids Dream of Electric Sheep?;Philip K. Dick;4,09;432,203;18,175
247;A Bright Shining Lie: John Paul Vann and America in Vietnam;Neil Sheehan;4,23;11,812;466
248;The Coldest Winter: America and the Korean War;David Halberstam;4,21;8,482;808
249;As Águas-Vivas Não Sabem de Si;Aline Valek;3,86;527;75
250;The Oldest Dance (Wisdom Revolution, #2);Misba;4,59;5,815;859
251;Dark Matter;Blake Crouch;4,13;437,919;51,654
252;The Oldest Dance (Wisdom Revolution, #2);Misba;4,59;5,815;859
253;The Oldest Dance (Wisdom Revolution, #2);Misba;4,59;5,815;859
254;Mother of Learning 2;Domagoj Kurmaić;4,54;3,948;164
255;Defiant (Skyward, #4);Brandon Sanderson;4,41;328;60
256;Reap the Wild Wind (Stratification, #1);Julie E. Czerneda;4,00;903;84
257;Transformers;Alan Dean Foster;4,06;1,253;44
258;Fury;Henry Kuttner;3,63;551;61
259;Minder (Ganzfield, #1);Kate Kaynak;3,73;720;152
260;Gods Tomorrow (Ghost Targets, #1);Aaron Pogue;3,74;598;57
261;The Lost Years (Star Trek: The Lost Years, #1);J.M. Dillard;3,82;2,704;125
262;Safe House (1-800-Where-R-You, #3);Jenny Carroll;4,10;11,763;247
263;The Animals of Farthing Wood;Colin Dann;4,06;5,651;215
264;God of Clocks (Deepgate Codex, #3);Alan                Campbell;3,55;1,377;108
265;Spinward Fringe Broadcast 4: Frontline (Spinward Fringe, #4);Randolph Lalonde;4,19;2,686;57
266;Nothing Human;Nancy Kress;3,84;258;34
267;The Guardians;John Christopher;3,69;717;58
268;Singularity's Ring;Paul Melko;3,63;454;64
269;Swarm (Star Force, #1);B.V. Larson;3,78;8,103;385
270;Molly Fyde and the Land of Light (The Bern Saga, #2);Hugh Howey;4,07;3,678;142
271;Bright of the Sky (Entire and the Rose, #1);Kay Kenyon;3,42;2,458;223
272;Carnosaur;Harry Adam Knight;3,65;307;58
273;After Man: A Zoology of the Future;Dougal Dixon;4,28;1,152;116
274;The Island of Doctor Death and Other Stories and Other Stories;Gene Wolfe;4,14;1,599;104
275;Concisus (Verita, #2);Tracy Rozzlynn;3,94;278;31
276;Gravity (The Taking, #1);Melissa  West;3,79;8,357;815
277;"The Followers (Star Wars: Jedi Apprentice, #20; Special Edition, #2)";Jude Watson;3,86;1,187;44
278;In the Mouth of the Whale (The Quiet War, #3);Paul McAuley;3,69;453;45
279;The Charnel Prince (Kingdoms of Thorn and Bone, #2);Greg Keyes;3,83;6,649;155
280;Legend of the Sword (In Her Name: The Last War, #2);Michael R. Hicks;4,26;2,274;70
281;Cybele's Secret (Wildwood, #2);Juliet Marillier;4,09;12,819;1,046
282;Главата на професор Доуел;Alexander Belyaev;4,06;3,235;96
283;Darkness Rises (Immortal Guardians, #4);Dianne Duvall;4,30;6,090;380
284;Dark Universe;Daniel F. Galouye;3,73;925;106
285;Limbo;Bernard Wolfe;3,46;499;62
286;The Daylight War (Demon Cycle, #3);Peter V. Brett;4,21;60,175;2,510
287;A Secret History (The Book of Ash,  #1);Mary Gentle;3,64;762;54
288;Half Share (Golden Age of the Solar Clipper, #2);Nathan Lowell;4,16;6,453;357
289;Indigo Incite (Indigo, #1);Jacinda Buchmann;3,95;133;45
290;The Year-God's Daughter (The Child of the Erinyes, #1);Rebecca Lochlann;3,64;266;48
291;Things Not Seen (Things, #1);Andrew Clements;3,89;26,034;2,070
292;Shattered Veil;Tracy Banghart;4,11;790;185
293;Mostly Harmless (Elite: Dangerous #8);Kate Russell;3,79;275;41
294;The Legacy Of Lord Regret (Strange Threads #1);Sam Bowring;4,02;378;59
295;vN (The Machine Dynasty, #1);Madeline Ashby;3,44;3,037;453
296;The Kalarthri;H.M. Clarke;3,83;448;71
297;The Color of Vengeance (The Ties That Bind, #2);Rob J. Hayes;4,10;1,550;60
298;Wraith Squadron (Star Wars: X-Wing, #5);Aaron Allston;4,12;9,908;213
299;The Celestine Prophecy (Celestine Prophecy, #1);James Redfield;3,70;111,398;4,721
300;Necessary Force (K-9 Rescue, #0.5);D.D. Ayres;3,86;747;111
301;On Silver Wings (Hayden War Cycle, #1);Evan Currie;4,10;4,798;205
302;Wiedźmin (Saga o Wiedźminie, #0.5-0.6, #1-5);Andrzej Sapkowski;4,67;3,657;72
303;The Obsidian Mirror (Chronoptika, #1);Catherine Fisher;3,67;2,236;396
304;Twixt;Sarah Diemer;3,92;495;62
305;The Eye of Minds (The Mortality Doctrine, #1);James Dashner;3,84;40,936;4,530
306;Bloodchild;Octavia E. Butler;4,02;5,257;717
307;Elseerian (The Chronicles of Lumineia: The Second Draeken War, #1);Ben Hale;3,84;1,849;80
308;Clockwork;Philip Pullman;3,87;7,743;858
309;The King (Black Dagger Brotherhood, #12);J.R. Ward;4,36;53,686;4,757
310;Scorn of Angels (The Descended, #2);John Patrick Kennedy;4,25;282;31
311;Fail-Safe;Eugene Burdick;4,16;5,622;222
312;The Notebook (The Notebook, #1);Nicholas Sparks;4,14;1,624,772;24,233
313;The Crimson Vault (Traveler's Gate, #2);Will Wight;4,18;12,175;273
314;Revived (The Lucidites, #3);Sarah Noffke;4,53;304;86
315;UnWholly (Unwind, #2);Neal Shusterman;4,24;57,594;5,039
316;Warbound (Grimnoir Chronicles, #3);Larry Correia;4,42;8,265;449
317;The Iron Wars (The Monarchies of God, #3);Paul Kearney;3,99;966;55
318;Black Dagger Brotherhood Collection (Black Dagger Brotherhood, #1-9);J.R. Ward;4,75;2,309;77
319;Perdition (Dred Chronicles, #1);Ann Aguirre;3,89;4,108;444
320;Metropolis;Thea von Harbou;3,54;1,588;216
321;Project Daily Grind (Mirror World, #1);Alexey Osadchuk;4,13;2,993;111
322;Sorcery Rising (Fool's Gold, #1);Jude Fisher;3,55;1,543;80
323;Starglass (Starglass, #1);Phoebe North;3,61;2,390;396
324;Dream Stalker (Talented, #1);Amy Hopkins;3,92;570;101
325;The Dark Is Rising Sequence (The Dark is Rising, #1-5);Susan Cooper;4,29;16,436;702
326;Issola (Vlad Taltos, #9);Steven Brust;4,28;6,351;141
327;Wolves;D.J. Molles;4,10;1,474;126
328;Akira, Vol. 3;Katsuhiro Otomo;4,44;12,185;463
329;Deceit (Beastly Tales, #2);M.J. Haag;4,12;5,502;358
330;27 Hours (The Nightside Saga, #1);Tristina Wright;3,31;920;303
331;The Machines of Bellatrix (The Girls from Alcyone #2);Cary Caffrey;3,92;784;41
332;The Gone World;Tom Sweterlitsch;3,93;17,787;2,301
333;Boys, Beasts & Men;Sam J. Miller;4,03;505;163
334;The Hybrid;E.K. Frances;4,53;105;31
335;Charmcaster (Spellslinger, #3);Sebastien de Castell;4,22;6,630;609
336;The Sunken Mall (The Tarot Sequence, #1.5);K.D. Edwards;4,17;883;87
337;Antuna's Story (The Antunites Chronicles, #1);Terry Birdgenaw;4,65;37;32
338;The Valkyrie's Daughter (The Helheim Prophecy #1);Tiana Warner;3,73;1,148;331
339;To Kill a Shadow;Katherine  Quinn;4,42;79;46
340;The Day the Dead Came to Show and Tell (Newsflesh Trilogy, #3.3);Mira Grant;4,38;1,649;192
341;The Wolf of Oren-Yaro (Chronicles of the Bitch Queen, #1);K.S. Villoso;3,67;3,093;840
342;Redemption's Blade (After the War, #1);Adrian Tchaikovsky;3,88;1,484;210
343;The Oldest Dance;Misba;4,59;5,815;859
344;The Fifth Science;Exurb1a;4,43;4,200;381
345;Junkyard Bargain (Junkyard Cats, #2);Faith Hunter;4,33;2,484;240
346;A Curse of Blood & Stone (Fate & Flame, #2);K.A. Tucker;4,18;8,374;1,025
347;The Isles of the Gods (The Isles of the Gods, #1);Amie Kaufman;3,97;2,550;655
348;Solaris;Stanisław Lem;3,99;100,668;6,345
349;Flags of Our Fathers;James D. Bradley;4,21;59,421;1,796
350;The High Auction (Wisdom Revolution, #1);Misba;4,60;6,271;926
351;The High Auction (Wisdom Revolution, #1);Misba;4,60;6,271;926
352;Frankenstein;Junji Ito;3,99;4,993;471
353;Project Hail Mary;Andy Weir;4,52;477,584;60,145
354;The High Auction (Wisdom Revolution, #1);Misba;4,60;6,271;926
355;Mother of Learning 3;Domagoj Kurmaić;4,56;2,861;123
356;Cytonic (Skyward, #3);Brandon Sanderson;4,09;41,054;4,280
357;Kingdoms of the Wall;Robert Silverberg;3,78;755;53
358;Wyjście z cienia;Janusz A. Zajdel;3,85;894;32
359;Eagles and Angels;Juli Zeh;3,49;1,491;83
360;Adversary (Ganzfield, #2);Kate Kaynak;4,18;319;63
361;Beggars Ride (Sleepless, #3);Nancy Kress;3,75;1,452;75
362;The Graveyard Game (The Company, #4);Kage Baker;4,02;1,778;118
363;The Quiet War (The Quiet War #1);Paul McAuley;3,60;2,296;177
364;The Sirian Experiments;Doris Lessing;3,99;768;53
365;The Swarm;Frank Schätzing;4,09;22,939;1,430
366;The River of Time;David Brin;3,85;1,657;42
367;Trader to the Stars;Poul Anderson;3,91;2,552;50
368;Dragon and Liberator (Dragonback, #6);Timothy Zahn;4,26;1,164;55
369;Doubleblind (Sirantha Jax, #3);Ann Aguirre;3,99;5,237;353
370;The Dragon's Path (The Dagger and the Coin, #1);Daniel Abraham;3,80;21,085;1,548
371;Molly Fyde and the Blood of Billions (The Bern Saga, #3);Hugh Howey;4,00;3,294;104
372;La Horde du Contrevent;Alain Damasio;4,44;6,059;486
373;The Endless Knot (The Song of Albion, #3);Stephen R. Lawhead;4,18;6,368;210
