;0;1;2;3;4
116;SilverFin (Young Bond, #1);Charlie Higson;3,83;13,928;692
117;The Dragon Princess (The Tales of the Frog Princess, #6);E.D. Baker;4,11;6,114;174
118;Who Could That Be at This Hour? (All the Wrong Questions, #1);Lemony Snicket;3,84;27,546;2,785
119;Witch Child (Witch Child, #1);Celia Rees;3,81;18,442;1,414
120;Amber Smoke (The Escaped #1);Kristin Cast;3,34;1,815;334
121;Out of the Darkness (Babylon 5: Legions of Fire, #3);Peter David;4,09;605;37
122;So Long Been Dreaming: Postcolonial Science Fiction and Fantasy;Nalo Hopkinson;3,99;795;105
123;Against the Tide of Years (Nantucket, #2);S.M. Stirling;4,04;4,833;173
124;Elminster: The Making of a Mage (Forgotten Realms: Elminster, #1);Ed Greenwood;3,81;8,776;229
125;A Breath of Snow and Ashes (Outlander, #6);Diana Gabaldon;4,44;172,211;6,759
126;Dragon Rider (Dragon Rider, #1);Cornelia Funke;3,99;82,396;2,772
127;Polar City Blues (Polar City #1);Katharine Kerr;3,67;470;33
128;The Book of Life (All Souls, #3);Deborah Harkness;4,20;182,786;13,617
129;The Star King (Demon Princes, #1);Jack Vance;3,88;1,776;140
130;The Palace of Love (Demon Princes, #3);vance-jack;3,99;1,157;68
131;The Future of Another Timeline;Annalee Newitz;3,75;7,808;1,472
132;How Much for Just the Planet? (Star Trek: The Original Series #36, Star Trek: Worlds Apart, #2);John M. Ford;3,60;1,651;215
133;Felaheen;Jon Courtenay Grimwood;3,99;701;34
134;The Hedge Knight (The Tales of Dunk and Egg, #1);George R.R. Martin;4,27;23,084;890
135;Beyond the Pale (The Last Rune, #1);Mark Anthony;3,87;1,312;82
136;Spark (Elemental, #2);Brigid Kemmerer;4,14;17,246;1,424
137;Hawkwood's Voyage (The Monarchies of God, #1);Paul Kearney;3,77;1,905;116
138;Breath of Magic (Lennox Family Magic, #1);Teresa Medeiros;3,90;3,263;183
139;Ashes of Honor (October Daye, #6);Seanan McGuire;4,37;17,744;1,064
140;Agatha Heterodyne and the Hammerless Bell (Girl Genius, #11);Phil Foglio;4,45;870;42
141;Sofie világa;Jostein Gaarder;3,96;251,517;14,412
142;The Fall of Colossus (Colossus, #2);D.F.    Jones;3,54;412;47
143;Paradox (The Nulapeiron Sequence #1);John Meaney;3,73;426;34
144;Ghostwritten;David Mitchell;4,05;30,372;2,656
145;Tomorrow and Tomorrow;Charles Sheffield;3,83;674;60
146;Dawn of Destiny (Epic, #1);Lee Stephen;3,83;526;70
147;The Harp of the Grey Rose;Charles de Lint;3,78;1,233;57
148;Distress;Greg Egan;3,86;2,554;186
149;The Buried Giant;Kazuo Ishiguro;3,56;99,466;12,459
150;The Diviners (The Diviners, #1);Libba Bray;3,94;96,610;14,016
151;The Face (Demon Princes, #4);Jack Vance;4,14;1,083;62
152;The Book of Dreams (Demon Princes, #5);Jack Vance;4,14;992;56
153;Starplex;Robert J. Sawyer;3,82;2,430;182
154;Armies of Light and Dark (Babylon 5: Legions of Fire, #2);Peter David;3,98;673;33
155;Enterprise: The First Adventure;Vonda N. McIntyre;3,68;2,416;170
156;Shadows Gray (Shadows #1);Melyssa Williams;4,02;201;53
157;Frindle;Andrew Clements;3,84;116,972;4,697
158;Exile's Gate (Morgaine Saga, #4);C.J. Cherryh;4,09;1,715;67
159;Fortune and Fate (Twelve Houses, #5);Sharon Shinn;4,05;4,114;241
160;Memnoch the Devil (The Vampire Chronicles, #5);Anne Rice;3,76;80,743;1,936
161;Engaging the Enemy (Vatta's War, #3);Elizabeth Moon;4,07;9,314;303
162;The Traitor Baru Cormorant (The Masquerade, #1);Seth Dickinson;4,06;19,746;3,390
163;Dark Moon Defender (Twelve Houses, #3);Sharon Shinn;4,11;5,483;261
164;"A Dance Through Time (MacLeod, #1; de Piaget/MacLeod, #2)";Lynn Kurland;4,16;5,609;294
165;The Lurking Fear;H.P. Lovecraft;3,65;2,250;179
166;The Rosewater Insurrection (The Wormwood Trilogy, #2);Tade Thompson;3,98;3,850;438
167;Merlin's Mirror;Andre Norton;3,66;493;38
168;Colossus;D.F.    Jones;3,76;965;122
169;The Strain (The Strain Trilogy, #1);Guillermo del Toro;3,79;85,341;6,905
170;Wolf and Iron;Gordon R. Dickson;3,94;1,697;123
171;Information Cloud (Tales of Cinnamon City, #1);Peter James West;3,68;249;34
172;Gate of Ivrel (The Morgaine Cycle, #1);C.J. Cherryh;3,92;2,587;149
173;Pleasure Unbound (Demonica, #1);Larissa Ione;4,04;53,506;2,688
174;Reader and Raelynx (Twelve Houses, #4);Sharon Shinn;4,13;5,466;258
175;Drowning Towers;George Turner;3,88;900;122
176;Foundation and Chaos (Second Foundation Trilogy, #2);Greg Bear;4,18;25,896;115
177;Trace Memory (Torchwood, #5);David Llewellyn;3,75;986;93
178;Slipstream;Michael Offutt;3,49;145;45
179;Sailing to Sarantium (The Sarantine Mosaic, #1);Guy Gavriel Kay;4,19;14,788;757
180;The Paladin;C.J. Cherryh;3,82;1,710;122
181;Swords in the Mist (Fafhrd and the Gray Mouser, #3);Fritz Leiber;4,06;4,732;180
182;Miss Mabel's School for Girls (The Network Series, #1);Katie Cross;3,96;4,244;640
183;Blood Trail (Vicki Nelson #2);Tanya Huff;3,82;6,682;272
184;The Dirdir (Planet of Adventure, #3);Jack Vance;4,06;1,261;77
185;Network Effect (The Murderbot Diaries, #5);Martha Wells;4,48;69,564;7,638
186;Going Under (Quantum Gravity #3);Justina Robson;3,74;1,145;61
187;Undead and Unwed (Undead, #1);MaryJanice Davidson;3,81;56,211;2,927
188;Halting State (Halting State, #1);Charles Stross;3,79;12,039;877
189;Confessions of an Ugly Stepsister;Gregory Maguire;3,54;59,630;3,843
190;The Unfortunate Miss Fortunes;Jennifer Crusie;3,49;3,681;264
191;Sleeping in Flame (Answered Prayers, #2);Jonathan Carroll;4,05;1,943;120
192;Rogue Protocol (The Murderbot Diaries, #3);Martha Wells;4,27;92,454;7,709
193;Manuscript Found in a Bottle;Edgar Allan Poe;3,23;3,095;266
194;Shatterday;Harlan Ellison;4,15;2,726;146
195;The Long Arm of Gil Hamilton (Known Space);Larry Niven;3,91;3,959;65
196;Century Rain;Alastair Reynolds;3,95;10,503;545
197;Hammered (Jenny Casey, #1);Elizabeth Bear;3,74;2,118;172
198;Princess of Wands (Special Circumstances, #1);John Ringo;3,95;2,165;120
199;Baudolino;Umberto Eco;3,78;22,881;1,260
200;The Hedgewitch Queen (Romances of Arquitaine, #1);Lilith Saintcrow;3,64;2,069;233
201;The Eyes of the Overworld (The Dying Earth, #2);Jack Vance;4,13;4,411;300
202;A Gift from Earth (Known Space);Larry Niven;3,83;3,425;108
203;Lovelock (Mayflower Trilogy, #1);Orson Scott Card;3,47;2,429;111
204;The Complex (Linx, # 1);C. Zaragoza;3,81;218;32
205;The Silence of the Lambs  (Hannibal Lecter, #2);Thomas  Harris;4,24;535,805;8,749
206;Darkspell (Deverry, #2);Katharine Kerr;4,04;10,045;195
207;John Dies at the End (John Dies at the End, #1);David  Wong;3,88;72,851;7,352
208;Spider's Bite (Elemental Assassin, #1);Jennifer Estep;3,88;34,316;2,217
209;Thrawn (Star Wars: Thrawn, #1);Timothy Zahn;4,30;45,071;3,898
210;Throy (Cadwal Chronicles, #3);Jack Vance;3,93;625;31
211;The King of the Swords;Michael Moorcock;3,91;2,245;85
212;The Peshawar Lancers;S.M. Stirling;3,86;2,742;205
213;Hardwired (Hardwired, #1);Walter Jon Williams;3,91;4,979;253
214;The Winter Sea (Slains, #1);Susanna Kearsley;4,10;64,985;7,237
215;The Fortress of the Pearl (The Elric Saga, #8);Michael Moorcock;3,78;4,536;249
216;Royal Airs (Elemental Blessings #2);Sharon Shinn;3,86;3,767;366
217;Physik (Septimus Heap, #3);Angie Sage;4,01;53,457;1,394
218;The Last Conversation;Paul Tremblay;3,76;15,684;1,502
219;Finder (Finder Chronicles #1);Suzanne Palmer;3,88;3,181;502
220;Cage of Souls;Adrian Tchaikovsky;4,14;8,167;744
221;The Guns of the South;Harry Turtledove;3,96;8,923;552
222;The Serpent Sea (Books of the Raksura, #2);Martha Wells;4,09;6,863;538
223;There Will Be Dragons (The Council Wars, #1);John Ringo;3,98;5,183;195
224;Song of Susannah (The Dark Tower, #6);Stephen King;3,99;153,669;4,874
225;Armageddon Rules (Grimm Agency, #2);J.C. Nelson;3,91;723;60
226;Empyrion (Empyrion, #1-2);Stephen R. Lawhead;4,01;591;34
227;The Family Bones;Kimberly Raiser;2,99;508;94
228;Broken Bow (Star Trek: Enterprise #1);Diane Carey;3,72;606;46
229;The Dazzle of Day;Molly Gloss;3,58;542;151
230;Procession of the Dead (The City Trilogy, #1);D.B. Shan;3,94;2,768;269
231;King's Test (Star of the Guardians, #2);Margaret Weis;3,93;1,536;31
232;Now Wait for Last Year;Philip K. Dick;3,89;6,730;365
233;Chthon;Piers Anthony;3,31;1,733;106
234;Scar Night (Deepgate Codex, #1);Alan                Campbell;3,62;4,051;345
235;An Inconvenient Truth: The Planetary Emergency of Global Warming and What We Can Do About It;Al Gore;3,78;6,738;521
236;Combat Ops (Tom Clancy's Ghost Recon, #2);Peter Telep;4,20;2,370;68
237;Interstellar Pig (Interstellar Pig, #1);William Sleator;3,90;2,917;314
238;Caliban Cove (Resident Evil, #2);S.D. Perry;3,66;4,768;226
239;Abduction;Robin Cook;3,51;5,989;430
240;Healer (The LaNague Federation, #3);F. Paul Wilson;4,18;552;43
241;Rebellion (Star Force, #3);B.V. Larson;4,01;4,820;71
242;Red Leaves and the Living Token;Benjamin David Burrell;3,53;64;33
243;Walt Disney's Mother Goose (A Little Golden Book);Al Dempster;4,32;2,334;34
244;Witch Born (Witch Song, #2);Amber Argyle;4,17;1,312;153
245;The Sundered;Ruthanne Reid;3,95;502;92
246;Undeadly (The Reaper Diaries, #1);Michele Vail;3,65;2,824;393
247;The Witches' Sleep (The Witches' Sleep, #1);Kaitlyn Deann;3,99;122;39
248;Marines (Crimson Worlds #1);Jay Allan;3,80;3,289;198
249;Wingless and Damned;Dawn White;4,04;158;54
250;And All the Stars;Andrea K. Höst;3,89;1,141;279
251;Lords of Rainbow;Vera Nazarian;3,88;208;33
252;Bid the Gods Arise (The Wells of the Worlds, #1);Robert Mullin;4,24;76;37
253;Here Lies Death;Harlan Vaughn;3,60;94;36
254;Enigma Black (Enigma Black, #1);Sara Furlong Burr;4,14;241;51
255;The Forever Gate (The Forever Gate #1);Isaac Hooke;3,34;568;74
256;Talyn (Korre, #1);Holly Lisle;3,81;838;70
257;The Pearl Wars (Skyship Academy, #1);Nick  James;3,66;1,804;237
258;Kingdom (Tiber City, #1);Anderson O'Donnell;3,52;114;32
259;The Long Run: A Tale of the Continuing Time  (The Continuing Time, #2);Daniel Keys Moran;4,55;733;53
260;Black Glass;Meg Mundell;3,54;117;48
261;Provenance (Spellscribed #1);Kristopher Cruz;3,98;2,078;52
262;Sentinel (Sentinel Trilogy, #1);Joshua Winning;3,60;168;76
263;The Verkreath Horror (Deathsworn Arc, #2);Martyn Stanley;4,00;124;40
264;The Legacy (Legacy Series, #1);Melissa Delport;4,04;340;114
265;Devil's Gate (NUMA Files, #9);Clive Cussler;4,08;7,621;408
266;Phase One: Identify (Territory of the Dead, #1);Rose Wynters;3,84;136;33
267;Stargate;Dean Devlin;4,03;1,259;69
268;The Book of Ti'ana (Myst, #2);Rand Miller;4,10;3,874;149
269;Bounty Hunter;S.J. Hollis;4,03;87;38
270;The Trials of Renegade X (Renegade X, #2);Chelsea M. Campbell;4,13;1,453;83
271;First Shift: Legacy (Shift, #1);Hugh Howey;4,22;17,730;850
272;Perfectible Animals (BioGenesis #1);Thomas Norwood;3,52;246;46
273;The Wrath of the Orphans (The Kinless Trilogy #1);Chris Philbrook;4,13;144;35
274;Shifters;DP;3,66;297;50
275;A Warrior's Redemption (The Warrior Kind #1);Guy S. Stanton III;3,98;217;38
276;Συναίσθημα (Το δέντρο του Άραϋ, #1);Μανώλης Σιμιτσάκης;4,49;85;50
277;Cassie Scot (Cassie Scot #1);Christine Amsden;3,92;610;161
278;Removed (The Nogiku Series, #1);S.J. Pajonas;3,95;288;92
279;Hybrid (The Evolution Trilogy, #1);Vanessa Wester;3,69;228;41
280;Pitch Green (Dimensions in Death, #1);The Brothers Washburn;4,08;156;50
281;The Leopard Vanguard (Leopard King Saga, #1);T.A. Uner;3,96;158;83
282;The Last Praetorian (The Redemption Trilogy, #1);Mike   Smith;3,74;3,028;184
283;Essence (Eve #1);A.L. Waddington;4,03;337;103
284;Wolf Moon (Grazi Kelly #1);C.D. Gorri;4,30;239;125
285;The Descent (Descent, #1);Jeff Long;3,95;8,756;804
286;Wraeththu (Wraeththu #1-3);Storm Constantine;3,94;2,634;179
287;Women's Work;Kari Aguila;3,65;128;45
288;Apocalypticon;Clayton  Smith;3,79;1,793;255
289;DragonFly (Missions of the DragonFly Squadron, #1);Charles A. Cornell;4,29;70;50
290;The Golden Dynasty (Fantasyland, #2);Kristen Ashley;4,35;31,321;2,987
291;Necromancer Awakening (The Mukhtaar Chronicles #1);Nat Russo;3,92;415;35
292;Entangled;Graham Hancock;3,83;1,142;137
293;The Spirit of Imagination (The Spirit of Imagination, #1);S.A. Tawks;3,56;80;53
294;Paragon (Legacy Code, #2);Autumn Kalquist;3,82;581;86
295;Elite Dangerous: Reclamation;Drew Wagar;3,99;387;40
296;Crewel (Crewel World, #1);Gennifer Albin;3,71;18,453;2,454
297;Bronze Magic (The Sorcerer's Oath #1);Jenny Ealey;4,14;404;31
298;Freak Show (The Nightshade Cases, #1);Patti Larsen;4,23;110;67
299;Paradeisia: Origin of Paradise;B.C. Chase;3,54;1,366;66
300;WhipEye (WhipEye Chronicles #1);Geoffrey Saign;4,18;103;55
301;AlterWorld (Play to Live, #1);D. Rus;4,14;6,843;384
302;In Times Like These (In Times Like These, #1);Nathan Van Coops;3,99;5,367;606
303;Phantom Wolf (Phantom Wolf, #1);Kia Carrington-Russell;3,55;2,169;47
304;No Time to Die;Kira Peikoff;3,80;359;71
305;The Northern Sunrise (It Takes a Thief..., #1);Rob J. Hayes;3,93;299;41
306;Made to Forget...;Sam Goodno;4,22;59;31
307;Mage's Burden (Fire of the Jidaan, #1);Whit McClendon;4,16;155;33
308;Into the Shadows (The Associates, #3);Annika Martin;3,92;931;161
309;Zeus Is Dead: A Monstrously Inconvenient Adventure (Zeus Is Dead, #1);Michael G. Munz;3,72;1,617;236
310;Adaline (Adaline #1);Denise Kawaii;3,95;143;39
311;The Kingdom Lights;Steven V.S.;4,29;128;70
312;Marchia Cienia (Marchia Cienia, #1);Tad Williams;3,75;12,050;549
313;The Immortality Game;Ted Cross;3,70;283;40
314;Lamb to the Slaughter (Serenity's Plain Secrets, #1);Karen Ann Hopkins;4,12;5,032;371
315;No Such Thing as Werewolves;Chris  Fox;3,99;1,039;114
316;Lord of the World;Robert Hugh Benson;4,08;2,975;366
317;Court of Nightfall (The Nightfall Chronicles, #1);Karpov Kinrade;4,02;4,766;534
318;From History's Shadow;Dayton Ward;3,82;441;60
319;A Chance Beginning (Shadow's Fire Trilogy #1);Christopher  Patterson;3,97;352;68
320;The Forever Hero (Forever Hero, #1-3);L.E. Modesitt Jr.;4,14;1,601;38
321;কপোট্রনিক সুখ দুঃখ;Muhammed Zafar Iqbal;4,11;1,427;37
322;Dark of the Moon (Kencyrath, #2);P.C. Hodgell;4,22;1,023;60
323;The Changeling Sea;Patricia A. McKillip;4,08;5,547;501
324;Libellus de Numeros (Magicae Mathematica, #1);Jim    West;4,31;119;68
325;Carrion Comfort;Dan Simmons;3,91;22,475;1,438
326;Ice Like Fire (Snow Like Ashes, #2);Sara Raasch;3,74;23,067;2,854
327;The Atomic Sea: Volume One (The Atomic Sea, #1);Jack Conner;3,46;791;100
328;The Never Hero (Chronicles Of Jonathan Tibbs #1);T. Ellery Hodges;4,05;4,779;486
329;Corruption (Disruption, #2);Jessica Shirvington;4,21;2,243;307
330;Average Joe and the Extraordinaires (Average Joe #1);Belart Wright;3,35;78;39
331;Shadow of a Dead Star  (The Wonderland Cycle #1);Michael Shean;3,64;279;58
332;Secret of Platform 13;Eva Ibbotson;3,95;14,289;994
333;Bound to Survive (The Magic Within, #1);Sharon Gibbs;3,99;80;41
334;Chronicles of the Nocturnal Forest (Stories of the Fairy of my Dreams, #1);Vanessa Kings;4,05;38;34
335;The Reviled (The Dark Fey Trilogy #1);Cynthia A. Morgan;3,81;279;79
336;Magic's Promise (The Last Herald-Mage #2);Mercedes Lackey;4,22;20,787;422
337;Awakenings (Elemental, #1);Hally Willmott;3,84;251;46
338;Aranya (Shapeshifter Dragons, #1);Marc Secchia;4,12;1,101;127
339;My Fair Captain (Sci-Regency #1);J.L. Langley;3,92;5,030;491
340;Under the Shadow of Darkness (Apprentice, #1);James Cardona;4,27;60;45
341;ARIA: Left Luggage;Geoff Nelder;4,03;77;42
342;The Slow Regard of Silent Things (The Kingkiller Chronicle, #2.5);Patrick Rothfuss;3,89;140,005;12,500
343;Dance in the Dark (Dance with the Devil, #2);Megan Derr;4,29;2,109;195
344;Keir (Redemption, #1);Pippa Jay;3,62;258;75
345;The Treemakers (The Treemakers Trilogy #1);Christina L. Rozelle;4,23;547;192
346;The Mark of Athena (The Heroes of Olympus, #3);Rick Riordan;4,47;565,390;22,806
347;Lips Touch: Three Times;Laini Taylor;3,89;13,693;2,306
348;Of Sea and Shadow (The Elder Empire: Sea, #1);Will Wight;4,13;4,644;199
349;Awoken (The Lucidites, #1);Sarah Noffke;3,93;839;258
350;Diver Creed Station;Oliver Phipps;4,20;173;45
351;What Remains of Heroes (A Requiem for Heroes #1);David Benem;3,82;634;79
352;Harry Watt Bounty Hunter: 2150 AD - And Harry's Life Just Got More Complicated;Rob Guy;3,77;176;33
353;Above the Sky (Above the Sky #1);Jenny Lynne;4,16;692;92
354;Reason for Existence;Richard Botelho;3,90;84;33
355;Population (Population, #1);Elizabeth  Stephens;4,17;845;168
356;The Memory Painter;Gwendolyn Womack;3,89;4,096;675
357;Elven Jewel;Kasper Beaumont;4,16;91;62
358;Radiant (Towers Trilogy, #1);Karina Sumner-Smith;3,82;1,148;188
359;Etherwalker;Cameron Dayton;3,95;657;46
360;Arena (Arena, #1);Holly Jennings;3,63;1,486;400
361;From a Buick 8;Stephen King;3,47;67,375;2,461
362;Wild-born (Psionic Pentalogy, #1);Adrian Howell;3,97;1,505;152
363;The Habitation of the Blessed (A Dirge for Prester John, #1);Catherynne M. Valente;3,92;1,035;171
364;Ilse Witch (Voyage of the Jerle Shannara, #1);Terry Brooks;3,98;18,462;308
365;The Dream of the Stone;Christina Askounis;3,57;251;37
366;Otherlife Dreams (The Selfless Hero Trilogy, #1);William D. Arand;4,08;2,936;121
367;Equinoccio. Susurros del destino;Gonzalo Guma;4,38;126;57
368;Amanda Lester and the Pink Sugar Conspiracy (Amanda Lester, Detective, #1);Paula Berinstein;4,03;150;61
369;The Midnight Sea (The Fourth Element, #1);Kat Ross;3,95;4,048;569
